tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Estado;51;ICMS;2024;33003111069,92;23086882922,46;;;23086882922,46
Estado;51;ICMS;2025;41011897180,52;26030429022,27;;;26030429022,269993
Estado;51;LC194;2023;;;;;796050000,0
Estado;51;LC194;2025;;;;;265350000,0
Estado;52;ICMS;2019;23819504146,31;17025786284,82;;;17025786284,820004
Estado;52;ICMS;2020;24903000194,17;17816879618,59;;;17816879618,59
Estado;52;ICMS;2021;21807013798,09;23176424978,18;;;23176424978,18
Estado;52;ICMS;2022;23130835169,04;24065860418,4;;;24065860418,399998
Estado;52;ICMS;2023;24044402217,05;24349471727,17;;;24349471727,170002
Estado;52;ICMS;2024;28830085210,35;29215644409,71;;;29215644409,71
Estado;52;ICMS;2025;30158958605,76;30532863822,63;;;30532863822,629997
Estado;52;LC194;2023;;;;;1240068594,61
Estado;52;LC194;2025;;;;;348440000,0
Estado;53;ICMS;2019;8118507636,42;8173794511,64;;;8173794511,639999
Estado;53;ICMS;2020;8585381849,65;8651619388,08;;;8651619388,08
Estado;53;ICMS;2021;9781532459,79;9886056687,13;;;9886056687,130001
Estado;53;ICMS;2022;10018767689,66;10101854331,45;;;10101854331,449999
Estado;53;ICMS;2023;9912523183,4;10005366684,15;;;10005366684,15
Estado;53;ICMS;2024;11618930329,17;11716571022,7;;;11716571022,699999
Estado;53;ICMS;2025;12495978651,6;12598092679,95;;;12598092679,95
Estado;53;LC194;2023;;;;;388600000,0
Município;1100015;Cota-Parte ICMS;2019;14666052,32;;;14666052,32;14666052,32
Município;1100015;Cota-Parte ICMS;2020;16836091,15;;16836091,15;16836091,15;16836091,15
Município;1100015;Cota-Parte ICMS;2021;23455131,58;23455131,58;23455131,58;23455131,58;23455131,58
Município;1100015;Cota-Parte ICMS;2022;;24367276,39;24367276,39;24367276,39;
Município;1100015;Cota-Parte ICMS;2023;8712165,64;27295989,45;27295989,45;27295989,45;8712165,64
Município;1100015;Cota-Parte ICMS;2024;33295714,7;33295714,7;33295714,7;33295723,7;33295714,7
Município;1100015;Cota-Parte ICMS;2025;;36029691,53;36029691,53;36029691,53;36029691,53
Município;1100015;ISS;2019;1233748,59;;;1346822,71;1233748,59
Município;1100015;ISS;2020;1264746,07;;1264775,99;1264775,99;1264746,07
Município;1100015;ISS;2021;;1240975,74;1355178,35;1355178,35;
Município;1100015;ISS;2022;;2016428,67;2016871,12;2015460,47;
Município;1100015;ISS;2023;483823,84;3172710,57;3173146,88;3173146,88;483821,53
Município;1100015;ISS;2024;2424700,28;2422391,32;2424700,28;2424468,24;2424506,27
Município;1100015;ISS;2025;;2709986,4;2717174,0;2710433,65;2709986,4
Município;1100023;Cota-Parte ICMS;2019;37506063,37;37506063,37;;37506063,37;37506063,37
Município;1100023;Cota-Parte ICMS;2020;40078052,32;40078052,32;32062442,07;40078052,32;40078052,32
Município;1100023;Cota-Parte ICMS;2021;51647739,33;51647739,33;51647739,33;51647739,33;51647739,33
Município;1100023;Cota-Parte ICMS;2022;56215025,97;56215025,97;56215025,97;56215025,97;56215025,97
Município;1100023;Cota-Parte ICMS;2023;59201775,7;59201775,7;61820828,1;59201775,7;59201775,7
Município;1100023;Cota-Parte ICMS;2024;71412791,12;71412791,12;71412791,12;71412791,12;71412791,12
Município;1100023;Cota-Parte ICMS;2025;73738408,54;73738408,54;73738408,54;73738408,54;73738408,54
Município;1100023;ISS;2019;19424106,93;19424106,93;;19424106,93;19424106,93
Município;1100023;ISS;2020;20846787,16;20846787,16;20846787,16;20846787,16;20846787,16
Município;1100023;ISS;2021;24537415,25;24537415,25;24537415,25;24537415,25;24537415,25
Município;1100023;ISS;2022;31020112,7;31020112,7;31020112,7;31020112,7;31020112,7
Município;1100023;ISS;2023;35586136,03;35586136,03;35586136,03;35586136,03;35586136,03
Município;1100023;ISS;2024;38435853,21;38435853,21;38435853,21;38435853,21;38435853,21
Município;1100023;ISS;2025;45584625,48;45584625,48;45584625,48;45584625,48;45584625,48
Município;1100023;LC194;2023;;;;;2619052,4
Município;1100031;Cota-Parte ICMS;2019;8296896,05;;;8296896,05;8296896,05
Município;1100031;Cota-Parte ICMS;2020;9907082,16;;9907082,16;9897082,16;9907082,16
Município;1100031;Cota-Parte ICMS;2021;13762802,34;;13762802,34;13762802,34;13762802,34
Município;1100031;Cota-Parte ICMS;2022;14370273,75;;14370273,75;14370273,75;14370273,75
Município;1100031;Cota-Parte ICMS;2023;14677805,83;;14677805,83;14677805,83;14677805,83
